iter	Passed	Remaining
1053	75103	1350014
1054	75173	1349918
1055	75246	1349877
1056	75317	1349792
1057	75386	1349687
1058	75458	1349627
1059	75530	1349564
1060	75601	1349500
1061	75672	1349414
1062	75744	1349371
1063	75812	1349240
1064	75886	1349215
1065	75961	1349215
1066	76037	1349226
1067	76108	1349147
1068	76182	1349128
1069	76254	1349069
1070	76328	1349042
1071	76405	1349064
1072	76478	1349035
1073	76550	1348976
1074	76623	1348930
1075	76691	1348807
1076	76762	1348717
1077	76832	1348635
1078	76902	1348536
1079	76979	1348561
1080	77057	1348612
1081	77135	1348651
1082	77211	1348671
1083	77284	1348628
1084	77357	1348588
1085	77430	1348549
1086	77503	1348507
1087	77577	1348473
1088	77657	1348559
1089	77730	1348521
1090	77804	1348495
1091	77888	1348633
1092	77960	1348585
1093	78034	1348561
1094	78105	1348481
1095	78174	1348368
1096	78244	1348274
1097	78321	1348303
1098	78397	1348300
1099	78467	1348217
1100	78537	1348122
1101	78609	1348060
1102	78682	1348022
1103	78753	1347936
1104	78826	1347903
1105	78896	1347806
1106	78967	1347719
1107	79041	1347700
1108	79112	1347621
1109	79183	1347553
1110	79253	1347453
1111	79323	1347358
1112	79395	1347304
1113	79468	1347247
1114	79543	1347237
1115	79619	1347258
1116	79693	1347219
1117	79762	1347121
1118	79833	1347043
1119	79903	1346948
1120	79976	1346896
1121	80052	1346904
1122	80127	1346901
1123	80203	1346899
1124	80280	1346926
1125	80357	1346951
1126	80437	1347018
1127	80514	1347050
1128	80590	1347060
1129	80676	1347221
1130	80760	1347364
1131	80832	1347308
1132	80912	1347372
1133	80989	1347397
1134	81064	1347391
1135	81140	1347397
1136	81223	1347504
1137	81326	1347966
1138	81424	1348332
1139	81522	1348693
1140	81617	1349016
1141	81698	1349104
1142	81774	1349103
1143	81852	1349141
1144	81926	1349098
1145	82000	1349064
1146	82075	1349057
1147	82145	1348953
1148	82219	1348927
1149	82294	1348909
1150	82365	1348828
1151	82434	1348715
1152	82503	1348606
1153	82577	1348573
1154	82651	1348547
1155	82725	1348509
1156	82799	1348481
1157	82873	1348444
1158	82943	1348349
1159	83013	1348253
1160	83084	1348171
1161	83151	1348033
1162	83224	1347983
1163	83295	1347898
1164	83363	1347764
1165	83433	1347669
1166	83505	1347615
1167	83575	1347518
1168	83647	1347440
1169	83713	1347283
1170	83782	1347170
1171	83852	1347084
1172	83924	1347012
1173	83992	1346883
1174	84063	1346797
1175	84133	1346711
1176	84205	1346639
1177	84276	1346568
1178	84347	1346476
1179	84417	1346384
1180	84486	1346268
1181	84557	1346198
1182	84624	1346045
1183	84695	1345966
1184	84769	1345943
1185	84839	1345837
1186	84910	1345765
1187	84977	1345623
1188	85048	1345535
1189	85120	1345477
1190	85188	1345356
1191	85255	1345208
1192	85325	1345115
1193	85402	1345126
1194	85474	1345058
1195	85546	1344998
1196	85619	1344944
1197	85690	1344868
1198	85765	1344854
1199	85837	1344786
1200	85912	1344777
1201	85991	1344816
1202	86063	1344749
1203	86132	1344632
1204	86208	1344634
1205	86291	1344745
1206	86378	1344908
1207	86468	1345135
1208	86554	1345274
1209	86638	1345402
1210	86715	1345415
1211	86798	1345516
1212	86883	1345660
1213	86967	1345772
1214	87052	1345906
1215	87129	1345925
1216	87206	1345933
1217	87287	1346010
1218	87367	1346060
1219	87439	1346000
1220	87513	1345966
1221	87585	1345886
1222	87654	1345782
1223	87729	1345753
1224	87801	1345694
1225	87878	1345696
1226	87950	1345633
1227	88022	1345575
1228	88091	1345462
1229	88164	1345404
1230	88250	1345544
1231	88332	1345632
1232	88428	1345939
1233	88518	1346148
1234	88592	1346099
1235	88670	1346129
1236	88759	1346313
1237	88839	1346372
1238	88922	1346474
1239	89028	1346916
1240	89117	1347095
1241	89196	1347133
1242	89269	1347092
1243	89346	1347096
1244	89424	1347116
1245	89515	1347323
1246	89599	1347446
1247	89688	1347633
1248	89772	1347742
1249	89854	1347810
1250	89929	1347789
1251	90000	1347708
1252	90071	1347617
1253	90148	1347627
1254	90233	1347752
1255	90305	1347683
1256	90379	1347638
1257	90450	1347560
1258	90529	1347585
1259	90599	1347492
1260	90672	1347435
1261	90740	1347307
1262	90814	1347266
1263	90886	1347193
1264	90956	1347086
1265	91026	1346996
1266	91096	1346890
1267	91167	1346801
1268	91249	1346884
1269	91327	1346898
1270	91403	1346889
1271	91480	1346898
1272	91552	1346824
1273	91628	1346816
1274	91699	1346720
1275	91768	1346609
1276	91841	1346553
1277	91914	1346490
1278	91986	1346425
1279	92062	1346409
1280	92135	1346352
1281	92204	1346243
1282	92274	1346138
1283	92344	1346042
1284	92413	1345921
1285	92486	1345868
1286	92565	1345897
1287	92640	1345871
1288	92716	1345857
1289	92790	1345819
1290	92865	1345792
1291	92939	1345754
1292	93010	1345668
1293	93087	1345668
1294	93162	1345636
1295	93234	1345571
1296	93320	1345697
1297	93388	1345573
1298	93456	1345444
1299	93530	1345405
1300	93602	1345326
1301	93676	1345291
1302	93747	1345200
1303	93819	1345126
1304	93889	1345033
1305	93957	1344907
1306	94027	1344801
1307	94097	1344696
1308	94164	1344563
1309	94232	1344427
1310	94300	1344305
1311	94371	1344216
1312	94452	1344280
1313	94521	1344167
1314	94590	1344048
1315	94661	1343966
1316	94729	1343837
1317	94801	1343768
1318	94875	1343718
1319	94945	1343617
1320	95025	1343662
1321	95098	1343601
1322	95174	1343587
1323	95247	1343529
1324	95319	1343471
1325	95397	1343478
1326	95466	1343369
1327	95537	1343276
1328	95607	1343178
1329	95677	1343084
1330	95746	1342965
1331	95815	1342861
1332	95887	1342788
1333	95958	1342695
1334	96033	1342666
1335	96104	1342584
1336	96178	1342548
1337	96250	1342475
1338	96326	1342450
1339	96398	1342383
1340	96469	1342298
1341	96539	1342207
1342	96609	1342100
1343	96683	1342064
1344	96754	1341977
1345	96826	1341907
1346	96898	1341831
1347	96970	1341756
1348	97041	1341675
1349	97110	1341562
1350	97186	1341553
1351	97261	1341523
1352	97334	1341460
1353	97406	1341393
1354	97479	1341333
1355	97553	1341285
1356	97625	1341212
1357	97698	1341161
1358	97768	1341063
1359	97841	1340998
1360	97911	1340902
1361	97983	1340829
1362	98056	1340771
1363	98129	1340715
1364	98198	1340608
1365	98267	1340498
1366	98336	1340382
1367	98408	1340305
1368	98481	1340255
1369	98553	1340189
1370	98625	1340111
1371	98695	1340013
1372	98766	1339928
1373	98834	1339811
1374	98915	1339855
1375	98986	1339768
1376	99055	1339662
1377	99127	1339592
1378	99198	1339499
1379	99267	1339396
1380	99335	1339267
1381	99406	1339189
1382	99487	1339226
1383	99560	1339180
1384	99635	1339143
1385	99710	1339114
1386	99779	1339004
1387	99850	1338912
1388	99921	1338829
1389	99996	1338805
1390	100077	1338846
1391	100144	1338719
1392	100212	1338593
1393	100284	1338511
